"id","J","seed","flipped","exact","seconds","ok","p","CI95","M","note"
"J9-baseline-seed42",9,42,"",0.0111459494027611,4.31,TRUE,"0.01133","","1e+05",""
"J9-baseline-seed43",9,43,"",0.0111459494027611,1.44,TRUE,"0.01085","","10000",""
"J9-baseline-seed44",9,44,"",0.0111459494027611,3.45,TRUE,"0.01105","","1e+05",""
"J9-flip-extreme-seed42",9,42,"3",0.0111459494027611,3.66,TRUE,"0.01133","","1e+05",""
"J9-flip-extreme-seed43",9,43,"3",0.0111459494027611,0.31,TRUE,"0.01085","","10000",""
"J9-flip-extreme-seed44",9,44,"3",0.0111459494027611,3.78,TRUE,"0.01105","","1e+05",""
"J9-flip-ordinary-seed42",9,42,"1",0.0111459494027611,3.56,TRUE,"0.01133","","1e+05",""
"J9-flip-ordinary-seed43",9,43,"1",0.0111459494027611,0.370000000000001,TRUE,"0.01085","","10000",""
"J9-flip-ordinary-seed44",9,44,"1",0.0111459494027611,3.39,TRUE,"0.01105","","1e+05",""
"J9-flip-odd-seed42",9,42,"1;3;5;7;9",0.0111459494027611,3.47,TRUE,"0.01133","","1e+05",""
"J9-flip-odd-seed43",9,43,"1;3;5;7;9",0.0111459494027611,0.350000000000001,TRUE,"0.01085","","10000",""
"J9-flip-odd-seed44",9,44,"1;3;5;7;9",0.0111459494027611,4.04,TRUE,"0.01105","","1e+05",""
"J9-flip-all-seed42",9,42,"1;2;3;4;5;6;7;8;9",0.0111459494027611,3.68,TRUE,"0.01133","","1e+05",""
"J9-flip-all-seed43",9,43,"1;2;3;4;5;6;7;8;9",0.0111459494027611,0.420000000000002,TRUE,"0.01085","","10000",""
"J9-flip-all-seed44",9,44,"1;2;3;4;5;6;7;8;9",0.0111459494027611,4.01,TRUE,"0.01105","","1e+05",""
"J14-baseline-seed42",14,42,"",0.000519194541113967,5.79,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-baseline-seed43",14,43,"",0.000519194541113967,5.71,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-baseline-seed44",14,44,"",0.000519194541113967,5.63999999999999,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"J14-flip-extreme-seed42",14,42,"7",0.000519194541113967,5.29,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-flip-extreme-seed43",14,43,"7",0.000519194541113967,5.39,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-flip-extreme-seed44",14,44,"7",0.000519194541113967,5.95999999999999,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"J14-flip-ordinary-seed42",14,42,"1",0.000519194541113967,5.61999999999999,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-flip-ordinary-seed43",14,43,"1",0.000519194541113967,5.7,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-flip-ordinary-seed44",14,44,"1",0.000519194541113967,6.26000000000001,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
